OBJECTID,MGRA,CT10,CT10BG,SRA,MSA,City,ZIP,Sphere,CPA,CPASG,TAZ,Council,Super,LUZ,Elem,Unif,High,Coll,Transit,Shape_Leng,Shape_Area,OBJECTID_2,FNODE,TNODE,LENGTH,ROADSEGID,POSTID,POSTDATE,ROADID,RIGHTWAY,ADDSEGDT,SEGSTAT,DEDSTAT,FUNCLASS,ONEWAY,SUBDIVID,SEGCLASS,LJURISDIC,LLOWADDR,LHIGHADDR,RJURISDIC,RLOWADDR,RHIGHADDR,LMIXADDR,RMIXADDR,PENDING,ABLOADDR,ABHIADDR,NAD83N,NAD83E,SPEED,L_ZIP,R_ZIP,LPSJUR,RPSJUR,CARTO,OBMH,FIREDRIV,L_BLOCK,R_BLOCK,L_TRACT,R_TRACT,L_BEAT,R_BEAT,FRXCOORD,FRYCOORD,MIDXCOORD,MIDYCOORD,TOXCOORD,TOYCOORD,F_LEVEL,T_LEVEL,L_PSBLOCK,R_PSBLOCK,RD20PRED,RD20NAME,RD20SFX,RD20FULL,RD30PRED,RD30NAME,RD30SFX,RD30POSTD,RD30FULL,Shape_Leng_2
9269,9439,14500,145001,33,3,9,91941,900,0,0,3489,0,2,136,22,0,16,1,1,2153.640737,136961.3532,111104,88877,177820,259.0805757,214110,fjessie,9/11/2019,127521,0,8/21/2015,M,D,R,F,,9,LG,0,0,LG,0,0,N,N,N,0,0,1851959,6319942,25,91941,91941,LG,LG,9,N,Y,1009,1009,14500,14500,602,602,6319942,1851959,6319824.722,1851903.789,6319698.277,1851878.799,1,1,10080,10080,,SR-94 WB ON,RA,SR-94 WB ON RA,,STATE ROUTE 94 WB ON,RAMP,,STATE ROUTE 94 WB ON RAMP,259.0805639
9269,9439,14500,145001,33,3,9,91941,900,0,0,3489,0,2,136,22,0,16,1,1,2153.640737,136961.3532,138127,177820,177817,809.7394885,214101,fjessie,9/30/2016,127521,0,8/21/2015,M,D,R,F,,9,LG,0,0,LG,0,0,N,N,N,0,0,1851878.799,6319698.277,25,91941,91941,LG,LG,9,N,Y,1009,1009,14500,14500,602,602,6319698.277,1851878.799,6319306.777,1851777.065,6318905.649,1851725.267,1,1,10080,10080,,SR-94 WB ON,RA,SR-94 WB ON RA,,STATE ROUTE 94 WB ON,RAMP,,STATE ROUTE 94 WB ON RAMP,809.7396962
9269,9439,14500,145001,33,3,9,91941,900,0,0,3489,0,2,136,22,0,16,1,1,2153.640737,136961.3532,138126,177817,177807,1033.59674,214092,fjessie,9/30/2016,43491,0,8/21/2015,M,D,R,F,,9,LG,0,0,LG,0,0,N,N,N,0,0,1851725.267,6318905.649,18,91941,91941,LG,LG,9,N,Y,1009,1009,14500,14500,602,602,6318905.649,1851725.267,6318391.488,1851779.272,6317887.749,1851885.672,1,1,10100,10100,,SR-94 WB OFF,RA,SR-94 WB OFF RA,,STATE ROUTE 94 WB OFF,RAMP,,STATE ROUTE 94 WB OFF RAMP,1033.596597
9269,9439,14500,145001,33,3,9,91941,900,0,0,3489,0,2,136,22,0,16,1,1,2153.640737,136961.3532,120699,177819,177817,775.3236191,214100,fjessie,9/30/2016,41112,0,8/21/2015,M,D,F,F,,1,LG,0,0,LG,0,0,N,N,N,0,0,1851772.999,6319678.467,60,91941,91941,LG,LG,1,N,Y,1009,1009,14500,14500,602,602,6319678.467,1851772.999,6319292.882,1851731.434,6318905.649,1851725.267,1,1,10080,10080,,SR-94 WB,,SR-94 WB,,STATE ROUTE 94 WB,,,STATE ROUTE 94 WB,775.3235195
9260,9430,14400,144002,32,3,10,91945,1000,0,0,3587,0,2,135,22,0,16,1,1,1349.879547,77004.74119,29806,89944,177795,56.65086206,49397,egregory,8/20/2015,12165,0,2/1/1989,M,D,L,B,0,5,LG,0,0,LG,0,0,N,N,N,0,0,1850873,6316237,20,91945,91945,LG,LG,5,N,Y,2021,2002,14400,14400,601,601,6316237,1850873,6316235.908,1850845.023,6316233.208,1850816.5,1,1,20290,20200,,NORTH,AV,NORTH AV,,NORTH,AVE,,NORTH AVE,56.65091111
9259,9429,14400,144002,32,3,10,91945,1000,0,0,3645,0,2,135,22,0,16,1,1,1195.69816,55143.07672,0,0,0,0,0,,,0,0,,,,,,0,,,0,0,,0,0,,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0
9258,9428,14400,144002,32,3,10,91945,1000,0,0,3645,0,2,135,22,0,16,1,1,945.3308798,40259.33375,74047,90417,90422,178.4167121,43173,fjessie,1/8/2021,103008,0,4/1/1980,M,D,L,B,0,5,LG,7100,7120,LG,7101,7119,N,N,N,7100,7120,1850355.586,6317050.698,20,91945,91945,LG,LG,5,N,Y,2011,2011,14400,14400,601,601,6317050.698,1850355.586,6317139.695,1850354.828,6317229.108,1850354.067,1,1,20140,20140,,WESTVIEW,PL,WESTVIEW PL,,WESTVIEW,PL,,WESTVIEW PL,178.4165372
9257,9427,14400,144002,32,3,10,91945,1000,0,0,3645,0,2,135,22,0,16,1,1,1245.518395,41233.55507,0,0,0,0,0,,,0,0,,,,,,0,,,0,0,,0,0,,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0
9256,9426,14400,144002,32,3,10,91945,1000,0,0,3645,0,2,135,22,0,16,1,1,1668.472547,64064.07914,0,0,0,0,0,,,0,0,,,,,,0,,,0,0,,0,0,,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0
9255,9425,14400,144002,32,3,10,91945,1000,0,0,3645,0,2,135,22,0,16,1,1,1187.823689,59376.55016,0,0,0,0,0,,,0,0,,,,,,0,,,0,0,,0,0,,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0
