OBJECTID,MGRA,CT10,CT10BG,SRA,MSA,City,ZIP,Sphere,CPA,CPASG,TAZ,Council,Super,LUZ,Elem,Unif,High,Coll,Transit,Shape_Leng,Shape_Area
8864,9031,13801,138012,31,3,19,91941,1921,1921,192100,3477,0,2,151,20,0,16,1,1,771.8942436,17521.60252
8871,9036,13801,138013,31,3,10,91945,1000,0,0,3509,0,2,135,22,0,16,1,1,875.4095974,43837.39475
8870,9039,13801,138013,31,3,19,91941,1921,1921,192100,3477,0,2,151,20,0,16,1,1,1626.6883,128245.5826
9052,9220,14001,140011,32,3,10,91945,1000,0,0,3638,0,2,135,22,0,16,1,1,1131.239387,64098.23591
9053,9221,14001,140011,32,3,10,91945,1000,0,0,3685,0,2,135,22,0,16,1,1,1315.230749,95080.53978
9054,9222,14001,140011,32,3,10,91945,1000,0,0,3685,0,2,135,22,0,16,1,1,1364.164946,106129.6536
9055,9223,14001,140011,32,3,10,91945,1000,0,0,3734,0,2,135,22,0,16,1,1,1223.610507,77619.75566
9056,9224,14001,140011,32,3,10,91945,1000,0,0,3734,0,2,135,22,0,16,1,1,1153.982699,71535.23785
9057,9225,14001,140012,32,3,10,91945,1000,0,0,3734,0,2,135,22,0,16,1,1,1360.419179,77252.75948
9058,9226,14001,140012,32,3,10,91945,1000,0,0,3734,0,2,135,22,0,16,1,1,1211.129056,64690.78325
9059,9227,14001,140012,32,3,10,91945,1000,0,0,3734,0,2,135,22,0,16,1,1,1199.164881,75750.00392
9060,9228,14001,140012,32,3,10,91945,1000,0,0,3734,0,2,135,22,0,16,1,1,1211.316579,76889.25702
9061,9229,14001,140013,32,3,10,91945,1000,0,0,3580,0,2,135,22,0,16,1,1,834.0469298,37265.14738
9062,9230,14001,140013,32,3,10,91945,1000,0,0,3601,0,2,135,22,0,16,1,1,1630.031288,136194.4538
9063,9231,14001,140013,32,3,10,91945,1000,0,0,3580,0,2,135,22,0,16,1,1,764.5064925,20020.18876
9064,9232,14001,140013,32,3,10,91945,1000,0,0,3601,0,2,135,22,0,16,1,1,1407.250028,78426.19195
9065,9233,14001,140013,32,3,10,91945,1000,0,0,3601,0,2,135,22,0,16,1,1,2399.147289,159071.1789
9066,9234,14001,140013,32,3,10,91945,1000,0,0,3601,0,2,135,22,0,16,1,1,1627.936136,137438.0113
9067,9235,14001,140013,32,3,10,91945,1000,0,0,3601,0,2,135,22,0,16,1,1,2112.673781,227132.1903
9068,9236,14001,140013,32,3,10,91945,1000,0,0,3601,0,2,135,22,0,16,1,1,844.2925964,33569.40766
9069,9237,14001,140013,32,3,10,91945,1000,0,0,3601,0,2,135,22,0,16,1,1,1641.28308,92606.03178
9070,9238,14001,140013,32,3,10,91945,1000,0,0,3601,0,2,135,22,0,16,1,1,1291.922578,71082.9968
9071,9239,14001,140013,32,3,10,91945,1000,0,0,3601,0,2,135,22,0,16,1,1,1354.376879,90154.79382
9072,9240,14001,140013,32,3,10,91945,1000,0,0,3601,0,2,135,22,0,16,1,1,1284.440339,70599.24541
9073,9241,14001,140014,32,3,10,91945,1000,0,0,3638,0,2,135,22,0,16,1,1,1679.907146,107033.8676
9074,9242,14001,140014,32,3,10,91945,1000,0,0,3638,0,2,135,22,0,16,1,1,980.5320915,59901.51727
9075,9243,14001,140014,32,3,10,91945,1000,0,0,3638,0,2,135,22,0,16,1,1,1194.352272,84330.40513
9076,9244,14001,140014,32,3,10,91945,1000,0,0,3638,0,2,135,22,0,16,1,1,828.8366201,21211.76474
9077,9245,14001,140014,32,3,10,91945,1000,0,0,3638,0,2,135,22,0,16,1,1,529.584536,14088.04814
9078,9246,14001,140014,32,3,10,91945,1000,0,0,3685,0,2,135,22,0,16,1,1,852.0937675,22959.08123
9079,9247,14001,140014,32,3,10,91945,1000,0,0,3685,0,2,135,22,0,16,1,1,1330.59172,92343.07972
9080,9248,14001,140014,32,3,10,91945,1000,0,0,3685,0,2,135,22,0,16,1,1,785.6580162,28937.43758
9081,9249,14001,140014,32,3,10,91945,1000,0,0,3685,0,2,135,22,0,16,1,1,1308.517334,86767.18399
