,stop_id,stop_lat,stop_lon,string_id
400,12772,32.73375181,-117.1601749,12772
401,12432,32.74505579,-117.1602657,12432
402,12439,32.73682571,-117.1601804,12439
403,12430,32.74847984,-117.1603466,12430
404,12431,32.74804585,-117.1603096,12431
405,12773,32.74087179,-117.1602943,12773
406,99441,32.70453869,-117.1615507,99441
407,98525,32.88777685,-117.1836303,98525
408,99236,32.71342667,-117.0579608,99236
409,98526,32.88652934,-117.178115,98526
410,12966,32.76912778,-117.0469489,12966
411,12232,32.77064913,-117.0471514,12232
412,12573,32.77066995,-117.0469076,12573
413,99098,32.77214037,-117.0417872,99098
414,75032,32.772147,-117.0422951,75032
415,75033,32.77229008,-117.0424841,75033
416,89026,32.71350376,-117.1582398,89026
417,10600,32.67653456,-117.1039092,10600
418,13411,32.67683388,-117.1035513,13411
419,11358,32.67737441,-117.1016977,11358
420,10228,32.67756198,-117.1004061,10228
421,99486,32.6781033,-117.0992284,99486
422,10593,32.6759728,-117.1060453,10593
423,75016,32.67501911,-117.1130951,75016
424,75017,32.67473308,-117.1130819,75017
425,70050,32.67446741,-117.1130273,70050
426,70052,32.67489492,-117.113207,70052
427,70053,32.67507851,-117.1132867,70053
428,70054,32.67533901,-117.1133738,70054
429,70055,32.67552812,-117.1134504,70055
430,98553,32.88934494,-117.1786985,98553
431,98554,32.88813965,-117.1752262,98554
432,98555,32.88756631,-117.1743439,98555
433,12438,32.71648316,-117.1564072,12438
434,60225,32.57732889,-117.1143857,60225
435,60396,32.57737993,-117.1141622,60396
436,60278,32.58042383,-117.114364,60278
437,60397,32.5809916,-117.1141391,60397
438,60272,32.58345804,-117.1143807,60272
439,10160,32.76282743,-117.1303757,10160
440,11297,32.76298262,-117.1305821,11297
441,10554,32.76331293,-117.1247171,10554
442,10937,32.76349122,-117.1247676,10937
443,10188,32.76329493,-117.1229896,10188
444,10939,32.76345102,-117.1226821,10939
445,10564,32.76327039,-117.1202373,10564
446,10198,32.76325179,-117.1174135,10198
447,11327,32.76341841,-117.1175616,11327
448,10581,32.76322081,-117.1108487,10581
449,11342,32.76338323,-117.1112049,11342
450,10140,32.76280518,-117.1377011,10140
451,10900,32.76296473,-117.1369187,10900
452,10224,32.76317276,-117.1043163,10224
453,11354,32.76331745,-117.1044576,11354
454,10169,32.76283621,-117.1283719,10169
