node_index,is_stop_only,pos_x,pos_y
31,False,6321494.0,1850556.0
33,False,6320506.001,1850552.0
34,False,6321165.0,1850551.0
35,False,6319857.0,1850540.999
36,False,6319186.0,1850535.0
37,False,6318783.0,1850531.0
38,False,6319042.0,1850531.0
39,False,6318527.0,1850528.0
41,False,6318256.0,1850526.0
42,False,6317867.997,1850524.897
69,False,6325399.0,1850357.0
127,False,6325742.001,1849993.0
54,False,6316955.0,1850447.999
59,False,6315861.0,1850403.0
388,False,6316062.336,1850569.896
60,False,6315675.0,1850401.0
386,False,6315518.867,1850586.697
70,False,6317050.698,1850355.586
73,False,6317229.108,1850354.067
75,False,6317863.0,1850334.0
74,False,6323938.0,1850341.0
81,False,6315751.0,1850311.0
93,False,6318774.0,1850220.0
98,False,6319037.0,1850208.0
94,False,6318522.001,1850219.0
96,False,6319847.0,1850209.0
99,False,6319182.0,1850207.0
102,False,6324683.388,1850192.334
111,False,6322935.0,1850105.0
114,False,6323408.0,1850091.0
116,False,6323930.0,1850079.0
122,False,6324832.0,1850008.0
121,False,6326614.0,1850019.0
56,False,6324844.0,1850420.0
123,False,6325142.0,1849997.0
57,False,6325155.0,1850416.999
155,False,6325670.0,1849802.0
129,False,6321610.0,1849987.0
130,False,6321996.0,1849982.0
131,False,6325964.82,1849981.912
135,False,6322440.0,1849962.0
211,False,6314332.0,1849514.0
139,False,6319056.0,1849909.0
141,False,6321151.0,1849897.0
143,False,6321458.0,1849896.0
142,False,6320496.0,1849896.0
146,False,6319840.0,1849893.0
147,False,6317220.606,1849860.869
148,False,6316573.674,1849855.434
150,False,6325339.001,1849845.0
151,False,6323922.0,1849830.0
174,False,6324549.0,1849731.0
152,False,6318517.0,1849812.0
154,False,6318800.0,1849812.0
213,False,6325518.0,1849480.0
157,False,6326606.0,1849793.0
158,False,6322925.0,1849790.0
164,False,6323604.0,1849778.0
178,False,6315536.0,1849653.0
212,False,6315751.0,1849484.001
184,False,6321590.0,1849566.0
185,False,6321983.0,1849564.0
186,False,6321512.313,1849562.278
188,False,6321440.0,1849559.0
189,False,6320771.0,1849557.0
190,False,6321148.0,1849557.0
192,False,6320490.0,1849555.0
194,False,6319502.0,1849550.0
196,False,6319830.0,1849547.0
195,False,6319180.0,1849547.0
200,False,6318658.0,1849541.0
201,False,6318686.0,1849541.0
202,False,6318513.0,1849539.0
203,False,6318234.0,1849537.0
204,False,6317213.0,1849536.0
206,False,6317851.0,1849533.0
337,False,6313764.0,1848781.0
280,False,6313773.855,1848984.478
309,False,6316102.258,1849523.119
319,False,6325128.0,1848885.0
217,False,6324545.0,1849450.0
218,False,6315650.524,1849448.018
221,False,6326587.0,1849421.0
267,False,6326596.248,1849699.003
223,False,6315557.146,1849414.266
226,False,6315413.0,1849364.0
235,False,6321576.0,1849313.0
236,False,6321726.0,1849311.0
237,False,6321975.0,1849307.0
238,False,6322158.0,1849305.0
239,False,6322903.0,1849295.0
240,False,6323074.508,1849292.55
922,False,6323129.737,1849291.761
241,False,6323393.0,1849288.0
242,False,6323590.0,1849285.0
277,False,6323372.0,1848993.999
243,False,6323899.0,1849283.0
283,False,6324333.0,1848973.0
250,False,6319821.0,1849221.0
251,False,6320483.0,1849221.0
252,False,6319328.001,1849220.0
253,False,6319500.0,1849220.0
259,False,6313423.0,1849089.0
268,False,6313486.0,1849032.0
261,False,6315316.0,1849073.0
262,False,6315655.095,1849069.938
264,False,6323074.128,1849047.297
