wkt_geom,OBJECTID,stop_UID,stop_agenc,stop_id,stop_name,stop_lat,stop_lon,stop_code,location_t,parent_sta,wheelchair,intersecti,stop_place
Point (6317874.64070163667201996 1845522.23741772770881653),1813,MTS_12969,MTS,12969,Massachusetts Av & Madera St,32.72782595,-117.0427222,12969,0,,0,F-N/B,
Point (6322927.64043813943862915 1843972.23789305984973907),1818,MTS_12974,MTS,12974,Skyline Dr & Canton Dr,32.72367052,-117.0262551,12974,0,,0,F-N/B,skycan
Point (6323073.64014613628387451 1842257.23804222047328949),1819,MTS_12975,MTS,12975,Cardiff St & Carlisle Dr,32.71896011,-117.0257389,12975,0,,1,F-N/B,carcar
Point (6319810.64076663553714752 1840071.23814915120601654),1841,MTS_13021,MTS,13021,Jamacha Rd & 7629,32.71288508,-117.0362938,13021,0,,0,M-Street-E/B,
Point (6321963.64072571694850922 1841243.23777364194393158),1843,MTS_13023,MTS,13023,Jamacha Rd & 8205,32.71615056,-117.029323,13023,0,,0,M-Street-E/B,
Point (6317178.64078129827976227 1850926.2367803156375885),1870,MTS_13088,MTS,13088,Broadway & 7080,32.74266336,-117.0451193,13088,0,,1,M-Street-W/B,
Point (6317446.64090147614479065 1839831.23797297477722168),1884,MTS_13116,MTS,13116,Lisbon St & 7170,32.71217625,-117.043973,13116,0,,2,M-Street-W/B,
Point (6321968.64071571826934814 1841294.23799972236156464),1885,MTS_13118,MTS,13118,Jamacha Rd & 8204,32.71629082,-117.029308,13118,0,,0,M-Street-W/B,
Point (6318303.64115597307682037 1839831.23797297477722168),2039,MTS_13467,MTS,13467,Lisbon St & Woodrow Av,32.71219415,-117.041187,13467,0,,1,F-W/B,
Point (6323849.63990646600723267 1851086.23711647093296051),2358,MTS_40021,MTS,40021,Broadway & Washington St,32.743241,-117.0234289,40021,0,,1,N-E/B,
Point (6320665.64036896824836731 1850859.23691430687904358),2402,MTS_40130,MTS,40130,Broadway & Buena Vista Av,32.74255179,-117.0337779,40130,0,,1,F-E/B,
Point (6320375.64029280841350555 1850957.23704639077186584),2519,MTS_40364,MTS,40364,Broadway & Buena Vista Av,32.74281513,-117.0347233,40364,0,,1,F-W/B,
Point (6323898.63980847597122192 1851185.23691847920417786),2525,MTS_40380,MTS,40380,Broadway & Washington St,32.74351409,-117.023272,40380,0,,1,F-W/B,wasbro
Point (6326521.63981179893016815 1844276.23794122040271759),2631,MTS_40617,MTS,40617,Sweetwater Rd & Blossom Ln,32.724579,-117.0145771,40617,0,,1,F-S/B,sweblo
Point (6316923.64063513278961182 1850828.23664823174476624),2761,MTS_40918,MTS,40918,Broadway & 7081,32.74238868,-117.0459461,40918,0,,1,M-Street-E/B,
Point (6324405.63977871835231781 1851387.2368425577878952),2792,MTS_40981,MTS,40981,Broadway & St John's Plaza,32.74407958,-117.0216281,40981,0,,1,M-Street-W/B,
Point (6321628.74014879763126373 1851190.43671122193336487),3539,MTS_75038,MTS,75038,Lemon Grove Depot,32.74348189,-117.0306539,75038,0,broS,0,M-TC-Train-N/B,broS
Point (6321588.54009796679019928 1851123.13697706162929535),3540,MTS_75039,MTS,75039,Lemon Grove Depot,32.7432961,-117.030783,75039,0,broS,0,M-TC-Train-S/B,broS
Point (6318857.24077054858207703 1843962.23758497834205627),3541,MTS_75040,MTS,75040,Massachusetts Ave Station,32.72355904,-117.039489,75040,0,masS,0,M-TC-Train-N/B,masS
Point (6318798.24056047201156616 1843927.33739231526851654),3542,MTS_75041,MTS,75041,Massachusetts Ave Station,32.7234619,-117.0396799,75041,0,masS,0,M-TC-Train-S/B,masS
Point (6322796.64037205278873444 1846845.23739638924598694),4171,MTS_99251,MTS,99251,Skyline Dr & Mt Vernon St,32.7315638,-117.0267506,99251,0,,1,N-N/B,
Point (6323328.64029230177402496 1841976.23827613890171051),4172,MTS_99252,MTS,99252,Jamacha Rd & Cardiff St,32.71819304,-117.0249031,99252,0,,1,M-Street-E/B,
Point (6324892.63978897035121918 1851666.23694072663784027),4177,MTS_99258,MTS,99258,Broadway & Sweetwater Rd,32.74485626,-117.020051,99258,0,,0,N-E/B,
Point (6324853.63986696302890778 1851747.2371068149805069),4178,MTS_99259,MTS,99259,Broadway & Sweetwater Rd,32.74507808,-117.0201798,99259,0,,1,F-W/B,
Point (6320119.64080479741096497 1840395.23782922327518463),4254,MTS_99378,MTS,99378,Jamacha Rd & Britain St,32.71378194,-117.0352972,99378,0,,1,F-W/B,
Point (6321604.74019680917263031 1851155.7369774729013443),4386,MTS_,MTS,,Lemon Grove Depot,32.74338603,-117.0307311,,1,,0,,
Point (6318827.64076413214206696 1843950.03747814893722534),4427,MTS_,MTS,,Massachusetts Ave Station,32.72352489,-117.0395849,,1,,0,,
