node_index,is_stop_only,node_lat,node_lon
72,False,32.74406051555075,-117.0342400893231
73,False,32.743769037432195,-117.03036083317242
74,False,32.7437572223732,-117.02875087040805
75,False,32.74373062023285,-117.02730339587501
76,False,32.74373135820151,-117.01771617461041
77,False,32.743620459273,-117.03212222458768
78,False,32.74358774020553,-117.03424563817686
79,False,32.743549530265085,-117.03851547083883
80,False,32.743552023849645,-117.03812522271487
81,False,32.74355746382022,-117.03727319125315
82,False,32.74355843823159,-117.03688565814538
83,False,32.74343858074906,-117.02304041237076
84,False,32.74339433644259,-117.0208870566115
85,False,32.74331412656486,-117.02840872719482
86,False,32.743309182266906,-117.0287566705545
87,False,32.74329010731109,-117.0304704191925
88,False,32.7433448401925,-117.0204508268021
89,False,32.74331927749876,-117.02365728645593
90,False,32.743245026109456,-117.02410218754248
91,False,32.7432547605798,-117.02079151812022
92,False,32.743150473593424,-117.03212130511716
93,False,32.743120461530744,-117.03425123589331
94,False,32.74304958997611,-117.03933055020705
95,False,32.743030017145806,-117.04067028769146
96,False,32.743017638073596,-117.04174340509043
97,False,32.74304079243347,-117.03812715777232
98,False,32.74304621168591,-117.03727838002419
99,False,32.74310567687262,-117.01692818413754
100,False,32.743038232440945,-117.01733827226215
101,False,32.74289320853695,-117.02629107901461
102,False,32.74292117511938,-117.0166958153052
103,False,32.74276000732216,-117.02736638193865
104,False,32.742706969481134,-117.03054330675468
105,False,32.74269846524474,-117.0310180516411
106,False,32.74268598458536,-117.03212043444553
107,False,32.742664176192775,-117.03425693139506
108,False,32.742617450651764,-117.03856892159585
109,False,32.74263142038564,-117.0363803211465
110,False,32.74261750768191,-117.03812987617704
111,False,32.742622906200694,-117.03728435451293
112,False,32.74260900147544,-117.03903065722585
113,False,32.7426015493807,-117.03933629651334
114,False,32.74258991178979,-117.039866299453
115,False,32.7425791110657,-117.04069427228255
116,False,32.74257057818601,-117.04159629170431
117,False,32.742566849055336,-117.04174911117936
118,False,32.74254604841536,-117.04284816462082
119,False,32.74249250454856,-117.04816826429186
120,False,32.74250190319052,-117.04586254681861
121,False,32.74247186624795,-117.0496575799994
122,False,32.74261561654608,-117.02410315923397
123,False,32.742561679256646,-117.01910407860427
124,False,32.742455777207994,-117.02460909880156
125,False,32.74238198762577,-117.02410436221275
126,False,32.74209914425316,-117.0513526235722
127,False,32.742244848783656,-117.0201062349459
128,False,32.74204094517789,-117.05083746054933
129,False,32.74192925247053,-117.05030243593826
130,False,32.74194803287978,-117.03059837512802
131,False,32.741939337829265,-117.02936572753687
132,False,32.741942080087455,-117.02631521807137
133,False,32.741973127928745,-117.02068898630044
134,False,32.741926402573725,-117.02793140867661
135,False,32.741989474176165,-117.01633531061458
136,False,32.7419196068355,-117.02464341139445
137,False,32.741732304516525,-117.05053870871342
138,False,32.74182418626121,-117.03105908486596
139,False,32.74182163284359,-117.03059400321969
140,False,32.741846805460455,-117.02310449959064
141,False,32.74173070173429,-117.03106476053638
142,False,32.74169932519887,-117.03427761012544
143,False,32.74171018182776,-117.03213453829879
144,False,32.741655655852234,-117.03638787385093
145,False,32.74162524031191,-117.03856979857585
146,False,32.741605863154966,-117.03988024360558
147,False,32.74161125287093,-117.03903798372471
148,False,32.74159228522185,-117.04071267349252
149,False,32.74158113702372,-117.04159390731824
150,False,32.74157000309695,-117.04285565293044
