stop_id,stop_lat,stop_lon,string_id
13532,32.71882529,-117.1293964,13532
13533,32.7187603,-117.1296461,13533
12089,32.76258874,-117.1303147,12089
11694,32.71710835,-117.1296589,11694
12099,32.72322478,-117.130289,12099
12091,32.74399356,-117.130142,12091
12478,32.74410477,-117.1299642,12478
11692,32.75555853,-117.1302477,11692
12476,32.75494144,-117.1300627,12476
12818,32.72465551,-117.1300789,12818
11696,32.72563542,-117.130261,11696
12474,32.72641717,-117.1300965,12474
50037,32.659281,-117.0904954,50037
50062,32.65937404,-117.0909577,50062
12084,32.75422334,-117.1302435,12084
12475,32.75394371,-117.1300657,12475
12096,32.72985318,-117.1296593,12096
12828,32.72989275,-117.1295069,12828
50197,32.66042553,-117.0870947,50197
99491,32.66028741,-117.0867912,99491
12086,32.75896658,-117.1302623,12086
12822,32.7594159,-117.1300781,12822
12093,32.7471599,-117.1301346,12093
12479,32.74722434,-117.1299628,12479
12082,32.75199656,-117.1302349,12082
12819,32.7524596,-117.1300541,12819
11697,32.73753465,-117.1293587,11697
12830,32.7376566,-117.1292169,12830
11693,32.74863258,-117.1302078,11693
12824,32.74879854,-117.1300599,12824
75072,32.70576993,-117.124753,75072
75073,32.70577705,-117.1245239,75073
10563,32.70530322,-117.1168921,10563
12508,32.70469927,-117.1081447,12508
99481,32.74954555,-117.1094792,99481
60622,32.74424673,-117.1070664,60622
60621,32.74575307,-117.107042,60621
12512,32.69048329,-117.1023054,12512
12860,32.68921909,-117.1022899,12860
99148,32.68911845,-117.1025359,99148
12513,32.69204751,-117.1022587,12513
13432,32.69139698,-117.102532,13432
12131,32.69404973,-117.1024666,12131
12514,32.69384496,-117.1022696,12514
11724,32.696003,-117.1025993,11724
12530,32.72002491,-117.0934026,12530
12529,32.71669902,-117.0934326,12529
12151,32.71406692,-117.0936935,12151
12154,32.72088083,-117.0936384,12154
12531,32.72122317,-117.0934141,12531
12527,32.7120654,-117.0933818,12527
11738,32.71025999,-117.0937318,11738
12528,32.71490964,-117.093448,12528
12152,32.71785727,-117.093668,12152
12150,32.70337456,-117.093796,12150
88890,32.70373879,-117.0935066,88890
12878,32.6973678,-117.0935825,12878
12149,32.70020269,-117.0938111,12149
12880,32.7007264,-117.0935918,12880
11737,32.69828973,-117.0938123,11737
12879,32.69885748,-117.0935837,12879
88891,32.70832954,-117.0937979,88891
75070,32.70843908,-117.0948191,75070
75071,32.70844807,-117.0950721,75071
12035,32.71954557,-117.1611792,12035
12036,32.71725334,-117.161175,12036
12028,32.74314665,-117.1616087,12028
12032,32.72173583,-117.1612214,12032
11642,32.72320918,-117.1612008,11642
11643,32.7252924,-117.1612224,11643
12034,32.71236153,-117.1611017,12034
12039,32.72697159,-117.161243,12039
12042,32.72906042,-117.1612483,12042
11644,32.73153127,-117.1612576,11644
12040,32.73326267,-117.1612788,12040
12037,32.73678491,-117.161352,12037
12025,32.74661233,-117.1616348,12025
11645,32.73884183,-117.1613235,11645
12027,32.74775835,-117.1616499,12027
12041,32.74061451,-117.1613386,12041
50013,32.68735067,-117.0792346,50013
50042,32.68633414,-117.0828425,50042
59018,32.68621318,-117.0840666,59018
50030,32.68186008,-117.0988908,50030
50032,32.68245177,-117.0967807,50032
99305,32.68258034,-117.0968697,99305
99304,32.6830339,-117.0952588,99304
50006,32.6839792,-117.0912671,50006
99303,32.68417427,-117.0912787,99303
50041,32.68530337,-117.0865086,50041
99302,32.6853627,-117.0870812,99302
12551,32.75129674,-117.0792998,12551
12909,32.73613764,-117.0794693,12909
12187,32.75738899,-117.0794743,12187
12914,32.75830609,-117.0791999,12914
12172,32.72578842,-117.0833064,12172
11760,32.73613024,-117.0797522,11760
11759,32.73094605,-117.0798302,11759
12907,32.73097532,-117.0795638,12907
12183,32.74541297,-117.0795957,12183
12910,32.74657735,-117.0793335,12910
12550,32.74121722,-117.0794163,12550
12179,32.73362074,-117.0797708,12179
12908,32.73398522,-117.0795206,12908
11756,32.7289662,-117.0803774,11756
