OBJECTID,stop_UID,stop_agenc,stop_id,stop_name,stop_lat,stop_lon,stop_code,location_t,parent_sta,wheelchair,intersecti,stop_place
1106,MTS_11797,MTS,11797,Massachusetts Av & Broadway,32.74187281,-117.0429546,11797,0,,1,F-S/B,
1105,MTS_11796,MTS,11796,Massachusetts Av & Central Av,32.73900515,-117.0429789,11796,0,,1,N-S/B,
1108,MTS_11800,MTS,11800,Meadowbrook Dr & Knollwood Rd,32.70733707,-117.032652,11800,0,,0,M-Street-S/B,
1107,MTS_11798,MTS,11798,Massachusetts Av & Madera St,32.72769544,-117.0429292,11798,0,,1,M-Street-S/B,
1101,MTS_11791,MTS,11791,College Av & College Grove Dr,32.74466111,-117.0549299,11791,0,,2,N-S/B,
1094,MTS_11781,MTS,11781,College Av & Adelaide Av,32.75747581,-117.0664576,11781,0,,2,F-S/B,
1104,MTS_11795,MTS,11795,Massachusetts Av & San Miguel Av,32.73620431,-117.0429992,11795,0,,1,M-Street-S/B,masmig
1102,MTS_11793,MTS,11793,Madera St & Ramon St,32.72385201,-117.0456519,11793,0,,1,N-W/B,
1083,MTS_11767,MTS,11767,58th St & Mira Flores Dr,32.70031391,-117.0732909,11767,0,,1,N-S/B,
1082,MTS_11766,MTS,11766,Kelton Rd & Pyramid St,32.71385799,-117.0737783,11766,0,,0,N-E/B,
1091,MTS_11778,MTS,11778,College Av & Soria Dr,32.76212247,-117.0670309,11778,0,,1,N-S/B,
1084,MTS_11768,MTS,11768,Pitta St & Market St,32.71033273,-117.072796,11768,0,,0,N-S/B,
1031,MTS_11684,MTS,11684,25th St & Broadway,32.71611353,-117.1403651,11684,0,,1,N-S/B,
1030,MTS_11682,MTS,11682,25th St & Imperial Av,32.70648888,-117.1402776,11682,0,,1,N-S/B,
1033,MTS_11688,MTS,11688,Texas St & Meade Av,32.75740396,-117.1389022,11688,0,,1,N-S/B,
1032,MTS_11687,MTS,11687,Texas St & Camino Del Rio South,32.76768472,-117.139481,11687,0,,1,N-S/B,txcams
