node_index,is_stop_only,pos_x,pos_y,node_in_micro_network
12912,FALSE,6300175.0,1848331.0,30919
12916,FALSE,6300720.0,1848324.0,30923
12918,FALSE,6298522.0,1848320.0,30925
12921,FALSE,6301109.001,1848317.0,30928
12922,FALSE,6301886.999,1848314.0,30929
12923,FALSE,6301302.0,1848313.0,30930
12924,FALSE,6301483.999,1848313.0,30931
12926,FALSE,6299415.0,1848310.0,30933
12927,FALSE,6299220.0,1848308.0,30934
12930,FALSE,6293933.0,1848293.0,30937
12936,FALSE,6298324.0,1848264.0,30943
12937,FALSE,6281171.0,1848263.0,30944
12938,FALSE,6280888.093,1848262.558,30945
12939,FALSE,6279957.0,1848261.0,30946
12940,FALSE,6281449.0,1848261.0,30947
12941,FALSE,6281728.0,1848260.0,30948
12942,FALSE,6282005.0,1848258.0,30949
12943,FALSE,6280609.0,1848256.0,30950
12946,FALSE,6291267.0,1848253.0,30953
12947,FALSE,6291432.0,1848249.0,30954
12950,FALSE,6291586.0,1848245.0,30957
12951,FALSE,6314218.0,1848242.0,30958
12954,FALSE,6292031.999,1848235.0,30961
12955,FALSE,6292568.0,1848235.0,30962
12956,FALSE,6319788.0,1848235.0,30963
12958,FALSE,6277355.0,1848234.0,30965
12959,FALSE,6318965.0,1848234.0,30966
12960,FALSE,6319278.0,1848234.0,30967
12964,FALSE,6320803.0,1848233.0,30971
12965,FALSE,6320910.0,1848233.0,30972
12976,FALSE,6323494.0,1848211.0,30983
12978,FALSE,6278369.104,1842232.956,30985
12980,FALSE,6299341.0,1848207.0,30987
12981,FALSE,6306535.0,1848203.0,30988
12982,FALSE,6315851.0,1848202.0,30989
12983,FALSE,6298643.0,1848198.0,30990
12984,FALSE,6298889.0,1848198.0,30991
12985,FALSE,6306715.0,1848197.0,30992
12987,FALSE,6315718.0,1848193.0,30994
12988,FALSE,6306889.0,1848192.0,30995
12989,FALSE,6307058.001,1848189.0,30996
12992,FALSE,6302317.0,1848185.001,30999
12994,FALSE,6295604.0,1848174.0,31001
12995,FALSE,6295586.0,1848168.0,31002
12997,FALSE,6294801.0,1848163.0,31004
12998,FALSE,6320960.0,1848162.0,31005
12999,FALSE,6325157.0,1848159.0,31006
13000,FALSE,6283098.119,1848152.654,31007
13002,FALSE,6295396.0,1848141.0,31009
13003,FALSE,6279349.65,1855975.612,31010
13004,FALSE,6309413.18,1862430.681,31011
13010,FALSE,6321131.0,1848122.0,31017
13011,FALSE,6274330.811,1850384.356,31018
13012,FALSE,6305017.0,1848117.0,31019
13016,FALSE,6304192.141,1841106.326,31023
13021,FALSE,6277814.0,1848094.0,31028
13022,FALSE,6304277.834,1841623.708,31029
13023,FALSE,6298537.0,1848091.0,31030
13024,FALSE,6314303.716,1835455.021,31031
13025,FALSE,6314302.126,1835357.615,31032
13026,FALSE,6314289.375,1835738.885,31033
13027,FALSE,6314212.133,1835425.581,31034
13028,FALSE,6297152.0,1848084.0,31035
13030,FALSE,6298981.0,1848076.0,31037
13039,FALSE,6291430.0,1848045.0,31046
13041,FALSE,6294071.0,1848043.0,31048
13044,FALSE,6314633.0,1848040.0,31051
13045,FALSE,6321167.413,1848032.866,31052
13047,FALSE,6308873.0,1848028.0,31054
13051,FALSE,6274337.522,1850398.632,31058
13052,FALSE,6297849.0,1848011.0,31059
13054,FALSE,6296599.0,1848001.0,31061
13058,FALSE,6322375.0,1847987.0,31065
13061,FALSE,6279769.0,1847980.0,31068
13065,FALSE,6323204.0,1847974.0,31072
13067,FALSE,6323303.0,1847973.0,31074
13071,FALSE,6297765.0,1847958.0,31078
13072,FALSE,6324287.999,1847957.0,31079
13073,FALSE,6304481.0,1847954.0,31080
13077,FALSE,6289935.0,1847946.0,31084
13079,FALSE,6290109.0,1847942.0,31086
13083,FALSE,6290443.0,1847938.0,31090
13085,FALSE,6290605.0,1847936.0,31092
13086,FALSE,6290774.0,1847936.0,31093
13087,FALSE,6290926.0,1847936.0,31094
13089,FALSE,6278255.0,1847931.0,31096
13091,FALSE,6326572.0,1847930.0,31098
13092,FALSE,6294685.081,1837546.191,31099
13094,FALSE,6326734.001,1847928.0,31101
13096,FALSE,6291190.0,1847927.0,31103
13098,FALSE,6291250.0,1847926.0,31105
13099,FALSE,6291922.0,1847926.0,31106
13101,FALSE,6292563.0,1847923.0,31108
13103,FALSE,6319929.0,1847920.0,31110
13106,FALSE,6314102.0,1847907.0,31113
13107,FALSE,6283163.0,1847906.001,31114
13110,FALSE,6292864.0,1847898.0,31117
13111,FALSE,6293105.0,1847896.0,31118
13112,FALSE,6293169.0,1847894.0,31119
13115,FALSE,6294123.0,1847891.0,31122
13116,FALSE,6293388.0,1847890.0,31123
13117,FALSE,6296221.0,1847890.0,31124
13118,FALSE,6293468.0,1847888.0,31125
13119,FALSE,6297744.0,1847888.0,31126
13122,FALSE,6295840.0,1847887.0,31129
13124,FALSE,6299784.0,1847881.0,31131
13126,FALSE,6280607.0,1847879.0,31133
13127,FALSE,6280883.0,1847879.0,31134
13129,FALSE,6280329.0,1847877.999,31136
13131,FALSE,6281168.0,1847877.999,31138
13132,FALSE,6303147.0,1847877.999,31139
13134,FALSE,6279511.001,1847877.0,31141
13135,FALSE,6281448.0,1847877.0,31142
13138,FALSE,6281728.0,1847874.0,31145
13139,FALSE,6305118.0,1847874.0,31146
13141,FALSE,6307218.0,1847857.0,31148
