node_index,is_stop_only,pos_x,pos_y
76,FALSE,6293638.775,1838921.999
77,FALSE,6293801,1838921.999
78,FALSE,6300547,1838921.999
79,FALSE,6306461,1838920
80,FALSE,6285831,1838919.001
81,FALSE,6310052,1838916
82,FALSE,6310447,1838914
83,FALSE,6315193.176,1824194.068
84,FALSE,6287829,1838905
85,FALSE,6287146,1838901
86,FALSE,6323955,1838898
87,FALSE,6301792.461,1838893.636
88,FALSE,6292433,1838893
89,FALSE,6288031,1838892
90,FALSE,6291144,1838892
91,FALSE,6291771,1838892
92,FALSE,6288468,1838890.999
93,FALSE,6292809,1838888.001
94,FALSE,6309100.932,1838877.625
95,FALSE,6311787,1838881
96,FALSE,6325992,1838880
97,TRUE,6302391,1838871
98,FALSE,6325228.392,1838869.22
99,FALSE,6325223,1838867
100,FALSE,6310052,1838862
101,FALSE,6318868,1838862
102,FALSE,6294456,1838856
103,FALSE,6289129.31,1838851.044
104,FALSE,6293287,1838849
105,FALSE,6326595,1838849
106,FALSE,6288469,1838848
107,FALSE,6288800.285,1838846.688
108,FALSE,6320682,1838842
109,FALSE,6293810,1838841
110,FALSE,6295103,1838841
111,FALSE,6323685,1838838
112,FALSE,6302867,1838833
113,FALSE,6300294,1838826.001
114,FALSE,6318095,1838821
115,FALSE,6313647.728,1838817.656
116,FALSE,6318475,1838814
117,FALSE,6283389.141,1838807.216
118,FALSE,6307506.292,1838805.507
119,FALSE,6302764,1838797
120,FALSE,6317818,1838787
121,FALSE,6303076.985,1838795.847
122,FALSE,6309203,1838785
123,FALSE,6302971.21,1838833.699
124,FALSE,6309100,1838776
125,FALSE,6323402,1838775
126,FALSE,6302665,1838769
127,FALSE,6317540,1838763
128,FALSE,6308975,1838758
129,FALSE,6321488,1838757
130,FALSE,6326342,1838751
131,FALSE,6312095,1838750
132,FALSE,6311149,1838749
133,FALSE,6318937,1838747
134,FALSE,6300819,1838732
135,FALSE,6302148,1838729
136,FALSE,6281435,1838725
137,FALSE,6282272.999,1838725
138,FALSE,6281156.999,1838724
139,FALSE,6281714,1838724
140,FALSE,6281990,1838724
141,FALSE,6283673,1838723
142,FALSE,6293014,1838723
143,FALSE,6283105.778,1838722.302
144,FALSE,6283960,1838722
145,FALSE,6283387.145,1838721.715
146,FALSE,6323158,1838720
147,FALSE,6284239,1838719
148,FALSE,6311785,1838719
149,FALSE,6293264,1838716
150,FALSE,6293469,1838715
151,FALSE,6284716.001,1838711
152,FALSE,6284993,1838710
153,FALSE,6287829,1838710
154,FALSE,6288031,1838710
155,FALSE,6289316.457,1838709.533
156,FALSE,6289129,1838709
157,FALSE,6289471,1838709
158,FALSE,6285266,1838708
159,FALSE,6288469.999,1838708
160,FALSE,6289634,1838708
161,FALSE,6289789,1838708
162,FALSE,6290060,1838706
163,FALSE,6290329.999,1838706
164,FALSE,6290477,1838706
165,FALSE,6290617,1838706
166,FALSE,6290902,1838704
167,FALSE,6287154,1838703
168,FALSE,6317234,1838703
169,FALSE,6291112,1838702.001
170,FALSE,6321237,1838702.001
171,FALSE,6285840,1838701
172,FALSE,6291770,1838701
173,FALSE,6292739,1838701
174,FALSE,6292434,1838700
175,FALSE,6286392,1838698
176,FALSE,6323647.532,1832038.541
177,FALSE,6286112,1838697
178,FALSE,6286671,1838697
179,FALSE,6311148,1838692
180,FALSE,6311277,1838685
181,FALSE,6294434,1838684
182,FALSE,6319916,1838682
183,FALSE,6294700,1838679
184,FALSE,6311386,1838679
185,TRUE,6309224,1838677
186,FALSE,6294985,1838673.999
187,FALSE,6299507,1838673.999
188,FALSE,6295102.777,1838672.509
189,FALSE,6313132,1838670
190,FALSE,6327641,1838670
191,FALSE,6313386.487,1838663.041
192,FALSE,6322903,1838663
193,FALSE,6311500,1838662
194,FALSE,6320234,1838662
195,FALSE,6302314,1838658
196,FALSE,6313644,1838656
197,FALSE,6317121,1838654
198,FALSE,6311036,1838647
199,FALSE,6326088,1838645
200,FALSE,6314183.327,1838644
201,FALSE,6314660,1838638
202,FALSE,6304758.084,1838637.068
203,FALSE,6304814,1838637
204,FALSE,6299506,1838634
205,FALSE,6305000,1838634
206,FALSE,6319297.001,1838625
207,FALSE,6319655,1838625
208,FALSE,6315283,1838623
209,FALSE,6285731,1838622
210,FALSE,6300516.213,1838621.492
211,FALSE,6306132,1838616
212,FALSE,6315525,1838615
213,FALSE,6306459,1838611
214,FALSE,6321521,1838611
215,FALSE,6315787,1838610
216,FALSE,6311593,1838607
217,FALSE,6322654,1838607
218,FALSE,6308475,1838606
219,FALSE,6318598.089,1838605.25
220,FALSE,6325300,1838598
221,FALSE,6308451.061,1838597.023
222,FALSE,6327383,1838591
