from_node,to_node,distance,travel_time,link_type
17127,17131,273.99923420836,20.43067848,1
17131,17127,273.99923420836,20.43067848,1
17131,16850,184.9994829509,13.7944362,1
16850,17131,184.9994829509,13.7944362,1
16850,16848,105.99970374483999,7.90383912,1
16848,16850,105.99970374483999,7.90383912,1
16848,16987,154.9995667967,11.5575006,1
16987,16848,154.9995667967,11.5575006,1
16987,16845,138.99961151445999,10.36446828,1
16845,16987,138.99961151445999,10.36446828,1
16845,16843,111.99968697567999,8.35122624,1
16843,16845,111.99968697567999,8.35122624,1
16843,16982,2262.99367523182,168.7395088,1
16982,16843,2262.99367523182,168.7395088,1
17528,17510,311.99912800367997,23.26413024,1
17510,17528,311.99912800367997,23.26413024,1
17510,17092,144.9995947453,10.8118554,1
17092,17510,144.9995947453,10.8118554,1
17092,16975,125.99964784763999,9.39512952,1
16975,17092,125.99964784763999,9.39512952,1
16975,16974,264.9992593621,19.7595978,1
16974,16975,264.9992593621,19.7595978,1
16974,16966,255.99928451584,19.08851712,1
16966,16974,255.99928451584,19.08851712,1
16966,17086,153.99956959155998,11.48293608,1
17086,16966,153.99956959155998,11.48293608,1
17086,17083,391.99890441488,29.22929184,1
17083,17086,391.99890441488,29.22929184,1
17083,16960,302.99915315742,22.59304956,1
16960,17083,302.99915315742,22.59304956,1
16960,16956,279.9992174392,20.8780656,1
16956,16960,279.9992174392,20.8780656,1
16956,16954,252.99929290042,18.86482356,1
16954,16956,252.99929290042,18.86482356,1
16954,17074,218.99938792565996,16.32962988,1
17074,16954,218.99938792565996,16.32962988,1
17074,17069,271.99923979807994,20.28154944,1
17069,17074,271.99923979807994,20.28154944,1
17198,16553,283.99920625975994,21.17632368,1
16553,17198,283.99920625975994,21.17632368,1
16553,16556,152.99957238642,11.40837156,1
16556,16553,152.99957238642,11.40837156,1
16556,17519,165.99953605323998,12.37771032,1
17519,16556,165.99953605323998,12.37771032,1
17519,16560,151.99957518128,11.33380704,1
16560,17519,151.99957518128,11.33380704,1
16560,16697,230.99935438733996,17.22440412,1
16697,16560,230.99935438733996,17.22440412,1
16697,16567,238.99933202846,17.82092028,1
16567,16697,238.99933202846,17.82092028,1
16567,16703,128.99963946306,9.61882308,1
