node_index,is_stop_only,pos_x,pos_y,census_tract,node_in_fleetpy,is_demand_node
90529,False,6319182.0,1850207.0,14300,167,1
90544,False,6324683.388,1850192.334,14001,168,1
90634,False,6322935.0,1850105.0,14001,169,1
90645,False,6323408.0,1850091.0,14001,170,1
90652,False,6323930.0,1850079.0,14001,171,1
90686,False,6326614.0,1850019.0,14001,172,0
90691,False,6324832.0,1850008.0,14001,173,1
90698,False,6325142.0,1849997.0,14001,174,1
90707,False,6325742.001,1849993.0,14001,175,1
90713,False,6321610.0,1849987.0,14400,176,0
90714,False,6321996.0,1849982.0,14400,177,1
90715,False,6325964.82,1849981.912,14001,178,1
90726,False,6322440.0,1849962.0,14001,179,1
90740,False,6314637.0,1849918.001,2703,180,0
90745,False,6319056.0,1849909.0,14300,181,1
90766,False,6321151.0,1849897.0,14400,182,1
90768,False,6320496.0,1849896.0,14300,183,1
90769,False,6321458.0,1849896.0,14400,184,1
90775,False,6319840.0,1849893.0,14300,185,1
90808,False,6317220.606,1849860.869,14400,186,1
90814,False,6316573.674,1849855.434,14400,187,1
90818,False,6325339.001,1849845.0,14001,188,1
90829,False,6323922.0,1849830.0,14001,189,1
90837,False,6318517.0,1849812.0,14300,190,1
90838,False,6318800.0,1849812.0,14300,191,0
90844,False,6325670.0,1849802.0,14001,192,1
90856,False,6326606.0,1849793.0,14001,193,0
90860,False,6322925.0,1849790.0,14001,194,1
90882,False,6323604.0,1849778.0,14001,195,1
90918,False,6324549.0,1849731.0,14001,196,1
90959,False,6315536.0,1849653.0,14400,197,1
90972,False,6326052.74,1849625.868,14001,198,1
91004,False,6321590.0,1849566.0,14400,199,1
91007,False,6321983.0,1849564.0,14001,200,1
91009,False,6321512.313,1849562.278,14400,201,1
91016,False,6321440.0,1849559.0,14400,202,1
91017,False,6320771.0,1849557.0,14300,203,1
91018,False,6321148.0,1849557.0,14300,204,1
91021,False,6320490.0,1849555.0,14300,205,1
91029,False,6319502.0,1849550.0,14300,206,1
91030,False,6319180.0,1849547.0,14300,207,1
91031,False,6319830.0,1849547.0,14300,208,1
91040,False,6318658.0,1849541.0,14300,209,1
91041,False,6318686.0,1849541.0,14300,210,1
91043,False,6318513.0,1849539.0,14300,211,1
91045,False,6318234.0,1849537.0,14300,212,1
91046,False,6317213.0,1849536.0,14400,213,1
91051,False,6317851.0,1849533.0,14300,214,1
91072,False,6314332.0,1849514.0,2703,215,0
91098,False,6315751.0,1849484.001,14400,216,1
91101,False,6325518.0,1849480.0,14001,217,1
91116,False,6324545.0,1849450.0,14001,218,1
91117,False,6315650.524,1849448.018,14400,219,1
91136,False,6326587.0,1849421.0,14001,220,0
91146,False,6315557.146,1849414.266,14400,221,1
91188,False,6315413.0,1849364.0,14400,222,1
91218,False,6324537.0,1849320.0,14001,223,1
91226,False,6321576.0,1849313.0,14001,224,1
91227,False,6321726.0,1849311.0,14001,225,1
91234,False,6321975.0,1849307.0,14001,226,1
91235,False,6322158.0,1849305.0,14001,227,1
91238,False,6322903.0,1849295.0,14001,228,1
91241,False,6323074.508,1849292.55,14001,229,1
91245,False,6323393.0,1849288.0,14001,230,1
91246,False,6323590.0,1849285.0,14001,231,1
91247,False,6323899.0,1849283.0,14001,232,1
91251,False,6324445.999,1849280.0,14001,233,1
91298,False,6319821.0,1849221.0,14300,234,1
91299,False,6320483.0,1849221.0,14300,235,1
91301,False,6319328.001,1849220.0,14300,236,1
91302,False,6319500.0,1849220.0,14300,237,1
91344,False,6318287.0,1849169.0,14300,238,1
91375,False,6313423.0,1849089.0,2703,239,1
91385,False,6315316.0,1849073.0,14300,240,1
91387,False,6315655.095,1849069.938,14300,241,0
91399,False,6323074.128,1849047.297,14001,242,0
91400,False,6314877.0,1849045.0,14400,243,1
91401,False,6318442.0,1849042.0,14300,244,0
91408,False,6313486.0,1849032.0,2712,245,1
91414,False,6317127.001,1849028.0,14300,246,1
91421,False,6316487.0,1849024.0,14300,247,1
91443,False,6321144.0,1849012.0,14300,248,1
91445,False,6320763.0,1849009.0,14300,249,1
91454,False,6323372.0,1848993.999,14001,250,0
91460,True,6321712.0,1848986.0,14001,251,1
91461,False,6313773.855,1848984.478,2703,252,0
91464,False,6322151.999,1848983.0,14001,253,1
91467,False,6324333.0,1848973.0,14001,254,1
91468,False,6323890.0,1848972.0,14001,255,1
91475,False,6324193.0,1848964.0,14001,256,1
91477,False,6315551.347,1848962.709,14300,257,1
91511,False,6322711.0,1848942.0,14001,258,1
91546,False,6322769.001,1848899.0,14001,259,1
91548,False,6319498.0,1848897.0,14300,260,1
91551,False,6324523.0,1848894.0,14001,261,1
91552,False,6319816.0,1848893.0,14300,262,1
91555,False,6324700.0,1848891.0,14001,263,1
91560,False,6319168.0,1848888.0,14300,264,1
91561,False,6320479.0,1848887.0,14300,265,1
91562,False,6320761.0,1848887.0,14300,266,1
91564,False,6318735.0,1848885.0,14300,267,1
91565,False,6325128.0,1848885.0,14001,268,1
91578,False,6316844.0,1848868.0,14300,269,0
91580,False,6318671.0,1848867.001,14300,270,1
91615,False,6323223.0,1848796.0,14001,271,1
91624,False,6313764.0,1848781.0,2712,272,0
91625,False,6323885.001,1848781.0,14001,273,1
91628,False,6314370.0,1848772.0,3003,274,1
91635,False,6320809.0,1848758.0,14300,275,1
91636,False,6320973.0,1848758.0,14300,276,1
91637,False,6321142.0,1848758.0,14300,277,1
91638,False,6321374.001,1848758.0,14300,278,1
91650,False,6313576.793,1848734.814,2712,279,0
91653,False,6313814.0,1848730.0,3003,280,0
91667,False,6315989.0,1848699.0,14300,281,1
91669,False,6315703.0,1848696.0,14300,282,1
91681,False,6326583.0,1848676.0,14001,283,1
91695,False,6323878.0,1848658.0,14001,284,1
91699,False,6321510.0,1848655.0,14001,285,1
91700,False,6322135.0,1848655.0,14001,286,1
91701,False,6321624.0,1848652.999,14001,287,1
91704,False,6321666.0,1848652.0,14001,288,1
91705,False,6324302.0,1848649.0,14001,289,1
91724,False,6315383.0,1848631.0,14300,290,1
91732,False,6316841.0,1848609.0,14300,291,0
91734,False,6326199.949,1848608.121,14001,292,1
91736,False,6316519.0,1848608.0,14300,293,0
91766,False,6326074.6,1848575.823,14001,294,1
91783,False,6319484.0,1848559.999,14300,295,1
91785,False,6319810.0,1848559.0,14300,296,1
91790,False,6320475.001,1848556.0,14300,297,1
91799,False,6324530.0,1848548.0,14001,298,1
91802,False,6319277.0,1848545.0,14300,299,1
91838,False,6323222.0,1848486.0,14001,300,1
91844,False,6323523.0,1848480.0,14001,301,1
91889,False,6324685.0,1848416.0,14001,302,1
91900,False,6322701.0,1848404.999,14001,303,1
91914,False,6325163.0,1848384.0,14001,304,1
91920,False,6323868.783,1848379.876,14001,305,1
91922,False,6322340.0,1848376.0,14001,306,1
91923,False,6323598.84,1848374.304,14001,307,1
91934,False,6315341.0,1848355.0,14300,308,1
91937,False,6315699.0,1848350.0,14300,309,1
91949,False,6321621.0,1848335.0,14001,310,1
91951,False,6321799.0,1848334.0,14001,311,1
91952,False,6325650.425,1848332.182,14001,312,1
91992,False,6323702.76,1848288.431,14001,313,0
91993,False,6324984.0,1848288.0,14001,314,1
92026,False,6314218.0,1848242.0,14300,315,1
