depart_hr,second,rq_time,start (MGRA),end (MGRA),mode
15,2296,56296,9251,9392,WALK_TRANSIT
13,2258,49058,9390,9246,WALK
13,2674,49474,9246,9393,WALK
13,361,47161,9393,9390,WALK
8,2903,31703,9358,9421,SHARED2FREE
8,3322,32122,9421,9424,WALK_TRANSIT
12,3458,46658,1293,9414,TAXI
14,1036,51436,9264,9388,SHARED3FREE
13,1661,48461,1046,1293,TNC_SINGLE
13,1654,48454,1293,1046,TNC_SINGLE
15,856,54856,1046,9419,SHARED2FREE
16,2111,59711,9419,1046,SHARED3FREE
8,2797,31597,1046,9277,SHARED3FREE
15,2534,56534,9277,1046,WALK_TRANSIT
16,3538,61138,1046,9277,SHARED3FREE
9,1952,34352,1046,9344,DRIVEALONEFREE
12,3263,46463,1046,9414,DRIVEALONEFREE
15,1091,55091,9414,1046,DRIVEALONEFREE
10,848,36848,1046,9421,WALK
12,660,43860,1046,9446,DRIVEALONEFREE
15,743,54743,9446,1046,DRIVEALONEFREE
7,2715,27915,1046,9394,DRIVEALONEFREE
14,3219,53619,9414,1046,WALK_TRANSIT
9,1893,34293,1046,9387,WALK_TRANSIT
11,2545,42145,9387,1046,WALK_TRANSIT
15,825,54825,1046,9414,DRIVEALONEFREE
17,2239,63439,9414,1046,DRIVEALONEFREE
11,2401,42001,9414,9424,WALK
7,3412,28612,1046,9260,SHARED2FREE
10,3127,39127,1046,1046,SHARED2FREE
19,287,68687,1046,1046,WALK
6,3070,24670,1046,9402,WALK_TRANSIT
15,2292,56292,9402,1046,BIKE
10,1393,37393,1046,9391,WALK_TRANSIT
10,2864,38864,1046,9414,WALK_TRANSIT
13,1267,48067,1291,948,DRIVEALONEFREE
16,2841,60441,9395,9402,DRIVEALONEFREE
18,3315,68115,9249,948,TAXI
12,908,44108,1046,950,DRIVEALONEFREE
21,1996,77596,950,1046,TAXI
10,2976,38976,9249,9332,SHARED2FREE
10,3259,39259,9332,9249,WALK_TRANSIT
16,1101,58701,9285,1046,WALK_TRANSIT
8,1731,30531,1046,1288,DRIVEALONEFREE
14,2043,52443,950,1293,TNC_SHARED
16,1200,58800,1288,9409,TAXI
9,1790,34190,948,1293,DRIVEALONEFREE
12,1383,44583,1293,9414,DRIVEALONEFREE
13,851,47651,9414,9394,WALK_TRANSIT
10,3419,39419,9424,1293,SHARED2FREE
15,1761,55761,9289,9445,DRIVEALONEFREE
11,3032,42632,1293,948,TAXI
15,2766,56766,948,9424,DRIVEALONEFREE
15,3130,57130,948,9246,WALK
15,1875,55875,9246,9391,WALK
15,138,54138,9391,948,WALK
15,965,54965,1293,9250,DRIVEALONEFREE
11,2592,42192,1293,1292,DRIVEALONEFREE
14,116,50516,1292,1293,DRIVEALONEFREE
14,15,50415,9320,9412,SHARED3FREE
10,1851,37851,9369,9428,TNC_SINGLE
9,1885,34285,9246,9414,SHARED2FREE
12,1889,45089,1293,9375,SHARED2FREE
10,1358,37358,9414,9398,WALK
20,74,72074,9414,9414,DRIVEALONEFREE
12,2586,45786,948,948,TNC_SHARED
12,2245,45445,948,1293,TAXI
18,3142,67942,9399,9395,BIKE
18,3512,68312,1386,9414,DRIVEALONEFREE
16,753,58353,9400,9414,WALK
14,890,51290,9424,9424,WALK
14,21,50421,9424,9424,WALK
14,2112,52512,9424,9424,WALK
11,2215,41815,9319,9424,SHARED3FREE
12,1815,45015,9414,9330,DRIVEALONEFREE
14,2998,53398,9305,9253,DRIVEALONEFREE
15,3049,57049,948,9414,TNC_SINGLE
14,2054,52454,9246,9359,SHARED3FREE
12,154,43354,9345,9427,WALK_TRANSIT
16,1499,59099,9410,9423,TNC_SHARED
14,2780,53180,9398,9421,DRIVEALONEFREE
18,608,65408,9410,9424,SHARED3FREE
11,504,40104,9375,9417,DRIVEALONEFREE
13,3021,49821,9335,1293,SHARED3FREE
7,2604,27804,9414,9414,DRIVEALONEFREE
18,1976,66776,9394,9414,DRIVEALONEFREE
18,3103,67903,9414,9394,DRIVEALONEFREE
18,1060,65860,9394,9421,TNC_SHARED
17,2074,63274,948,9276,DRIVEALONEFREE
15,3014,57014,9352,9357,WALK_TRANSIT
16,2535,60135,9384,9414,TAXI
19,791,69191,9414,9414,DRIVEALONEFREE
8,178,28978,948,948,WALK
8,2463,31263,948,948,WALK
20,2188,74188,9253,1288,SHARED2FREE
9,1438,33838,9414,1288,DRIVEALONEFREE
12,1061,44261,9402,9385,WALK_TRANSIT
16,624,58224,9400,9388,DRIVEALONEFREE
21,1196,76796,9413,9391,WALK
21,2297,77897,9391,9409,WALK
21,3411,79011,948,9414,TAXI
14,173,50573,9417,9414,WALK
14,1826,52226,9414,9391,WALK
14,548,50948,9414,9414,SHARED2FREE
8,2106,30906,9386,9394,SHARED2FREE
8,2216,31016,9414,9399,DRIVEALONEFREE
12,3529,46729,948,9402,DRIVEALONEFREE
12,275,43475,9402,948,DRIVEALONEFREE
15,350,54350,948,9421,DRIVEALONEFREE
21,226,75826,9297,9439,DRIVEALONEFREE
21,2244,77844,9439,9394,DRIVEALONEFREE
15,608,54608,9350,9359,SHARED3FREE
7,880,26080,9394,9242,TAXI
23,41,82841,9421,9421,WALK
23,2298,85098,9421,1288,WALK
23,12,82812,1288,948,WALK
9,642,33042,950,9409,DRIVEALONEFREE
9,896,33296,9409,9446,DRIVEALONEFREE
19,258,68658,9333,1293,DRIVEALONEFREE
14,1562,51962,9445,9277,SHARED2FREE
19,919,69319,9414,9412,DRIVEALONEFREE
17,180,61380,948,1293,DRIVEALONEFREE
6,847,22447,948,1300,DRIVEALONEFREE
11,229,39829,9445,1288,WALK
10,102,36102,9398,9423,DRIVE_TRANSIT
8,876,29676,9446,9428,DRIVEALONEFREE
12,3531,46731,1293,9351,TNC_SINGLE
12,2226,45426,9409,9409,DRIVEALONEFREE
16,817,58417,9403,9428,WALK_TRANSIT
15,145,54145,9400,948,SHARED2FREE
17,2256,63456,9424,9399,DRIVEALONEFREE
15,3540,57540,9276,9351,SHARED3FREE
12,2844,46044,9410,9375,SHARED2FREE
14,2767,53167,1293,1293,WALK
19,387,68787,9246,948,SHARED2FREE
13,1141,47941,1288,948,DRIVEALONEFREE
17,3158,64358,1293,9250,SHARED2FREE
13,1577,48377,9384,9416,DRIVEALONEFREE
15,2841,56841,9416,9384,DRIVEALONEFREE
20,397,72397,9414,1288,WALK
18,1354,66154,9388,9409,WALK
13,2697,49497,9222,1293,DRIVEALONEFREE
13,2322,49122,1295,1293,SHARED2FREE
17,2333,63533,1293,1295,SHARED2FREE
8,2251,31051,1295,9398,DRIVEALONEFREE
6,292,21892,1295,9350,WALK_TRANSIT
16,935,58535,9350,1295,SHARED3FREE
11,617,40217,1295,9414,DRIVEALONEFREE
11,2111,41711,9414,9351,DRIVEALONEFREE
12,176,43376,9351,1295,SHARED3FREE
8,2651,31451,1295,1295,WALK
17,2047,63247,1295,1295,WALK
14,2163,52563,9317,1296,SHARED2FREE
12,3348,46548,9414,9394,WALK
12,1599,44799,9394,9414,WALK
21,574,76174,9250,9324,DRIVEALONEFREE
16,603,58203,9414,1288,DRIVEALONEFREE
8,1030,29830,9347,9397,WALK_TRANSIT
20,369,72369,1293,1293,TAXI
9,148,32548,1295,9356,SHARED2FREE
14,3521,53921,9356,9339,SHARED2FREE
15,3390,57390,9339,9287,SHARED2FREE
15,1469,55469,9287,1295,SHARED2FREE
15,984,54984,1295,9414,SHARED2FREE
16,1072,58672,9414,9393,SHARED2FREE
7,233,25433,1295,9396,BIKE
7,1672,26872,9396,9298,SHARED2FREE
12,3258,46458,9298,1295,SHARED3FREE
12,80,43280,1295,1292,WALK
14,744,51144,1292,1295,WALK
21,2540,78140,1291,9439,SHARED2FREE
21,3489,79089,9439,1291,SHARED2FREE
8,3371,32171,1291,9372,WALK
16,240,57840,9372,1291,SHARED3FREE
17,968,62168,1291,1288,DRIVEALONEFREE
17,674,61874,1288,1291,DRIVEALONEFREE
15,2416,56416,1296,9249,TAXI
17,610,61810,9385,9246,SHARED2FREE
17,208,61408,9243,9394,SHARED2FREE
14,2607,53007,1295,948,DRIVEALONEFREE
17,84,61284,948,1295,SHARED2FREE
17,2830,64030,1295,1293,WALK
17,1190,62390,1293,1295,WALK
8,1593,30393,1295,9371,SHARED2FREE
9,110,32510,9371,1295,DRIVEALONEFREE
9,1240,33640,1295,9399,WALK_TRANSIT
12,60,43260,9399,1295,SHARED3FREE
6,1905,23505,1295,9372,WALK_TRANSIT
14,680,51080,9372,1295,SHARED2FREE
8,1505,30305,1295,9285,SHARED2FREE
18,2485,67285,9285,1295,SHARED3FREE
11,1954,41554,948,1288,DRIVEALONEFREE
13,271,47071,9397,1291,DRIVEALONEFREE
9,2918,35318,9321,9421,WALK
7,3521,28721,1295,9293,SHARED2FREE
10,2070,38070,1295,9409,SHARED2FREE
10,1212,37212,9409,9246,SHARED3FREE
10,1459,37459,9246,9414,SHARED3FREE
10,3331,39331,9414,1295,SHARED3FREE
21,494,76094,9400,1295,WALK_TRANSIT
14,2795,53195,9410,1291,TNC_SHARED
18,3214,68014,1291,948,DRIVEALONEFREE
19,3482,71882,948,1291,DRIVEALONEFREE
10,1149,37149,9426,9267,DRIVEALONEFREE
21,1976,77576,9414,1293,TAXI
17,2016,63216,1288,1291,SHARED2FREE
12,1621,44821,9330,1295,SHARED3FREE
7,207,25407,1291,1291,WALK
13,1933,48733,1291,1291,SHARED3FREE
8,389,29189,1291,1291,WALK
13,1781,48581,1291,1291,WALK
12,666,43866,1290,9031,TNC_SHARED
18,1046,65846,9031,1290,TAXI
17,2922,64122,1291,1293,WALK
17,1234,62434,1293,1291,DRIVEALONEFREE
21,3481,79081,9414,9408,DRIVEALONEFREE
18,1567,66367,9414,1293,DRIVEALONEFREE
10,2018,38018,1295,9421,SHARED2FREE
21,3228,78828,9421,1295,SHARED2FREE
14,2249,52649,1295,9393,DRIVEALONEFREE
18,1271,66071,9393,1295,DRIVEALONEFREE
18,1163,65963,1295,9293,WALK_TRANSIT
19,818,69218,9293,1295,WALK_TRANSIT
20,1698,73698,1295,9274,SHARED3FREE
20,1031,73031,9274,1295,SHARED3FREE
13,2931,49731,9414,1295,DRIVEALONEFREE
16,37,57637,9303,9298,WALK
14,1097,51497,9421,9410,WALK
14,3026,53426,9410,9421,WALK
13,2265,49065,9402,9414,SHARED2FREE
13,1155,47955,1296,9385,DRIVEALONEFREE
13,3540,50340,9385,1296,DRIVEALONEFREE
18,2363,67163,9409,1291,DRIVEALONEFREE
11,2841,42441,9394,1291,DRIVEALONEFREE
8,2452,31252,1295,9357,SHARED2FREE
