node_index,is_stop_only,pos_x,pos_y,actual_nodes
377,False,6316975.001,1862365.0,80398
378,False,6300937.773,1862354.99,80401
379,False,6310136.0,1862348.0,80406
380,False,6326111.0,1862348.0,80407
381,False,6321881.0,1862342.0,80411
382,False,6299205.0,1862323.0,80417
383,False,6316946.0,1862319.0,80420
384,False,6290410.0,1862306.0,80425
385,False,6317496.0,1862302.0,80427
386,False,6317367.0,1862297.0,80430
387,False,6322430.999,1862293.0,80431
388,False,6329998.76,1862291.856,80434
389,False,6329857.0,1862291.0,80435
390,False,6313298.0,1862286.999,80439
391,False,6324871.0,1862283.0,80444
392,False,6312712.0,1862281.001,80445
393,False,6325278.0,1862280.0,80446
394,False,6292039.0,1862279.0,80448
395,False,6305235.0,1862278.0,80449
396,False,6314139.0,1862274.0,80451
397,False,6322727.0,1862273.0,80452
398,False,6312982.0,1862272.0,80453
399,False,6314641.0,1862269.0,80456
400,False,6290321.0,1862266.0,80458
401,False,6314949.0,1862265.0,80459
402,False,6305609.0,1862255.999,80466
403,False,6290283.0,1862253.001,80467
404,False,6305865.0,1862253.001,80468
405,False,6306121.0,1862249.0,80469
406,False,6320316.0,1862247.0,80470
407,False,6329157.0,1862247.0,80471
408,False,6290245.0,1862242.0,80473
409,False,6315466.0,1862242.0,80474
410,False,6298766.0,1862238.0,80481
411,False,6327826.0,1862235.0,80482
412,False,6299683.001,1862234.0,80483
413,False,6328866.0,1862231.0,80485
414,False,6319829.0,1862229.0,80486
415,False,6315934.0,1862226.0,80487
416,False,6290163.0,1862223.0,80488
417,False,6291566.0,1862218.0,80493
418,False,6322345.0,1862217.0,80494
419,False,6329270.0,1862216.0,80495
420,False,6314167.0,1862198.0,80506
421,False,6299234.928,1862197.007,80507
422,False,6304063.0,1862191.001,80513
423,False,6299468.0,1862171.0,80523
424,False,6303398.0,1862139.0,80542
425,False,6322101.0,1862139.0,80543
426,False,6299801.0,1862131.999,80545
427,False,6300409.0,1862129.001,80547
428,False,6317134.0,1862126.0,80549
429,False,6321541.0,1862113.0,80554
430,False,6307712.222,1862105.638,80558
431,False,6302603.0,1862105.0,80559
432,False,6316270.0,1862105.0,80560
433,False,6304651.0,1862103.0,80562
434,False,6301011.675,1862086.501,80567
435,False,6328312.0,1862084.0,80570
436,False,6307711.999,1862076.0,80572
437,False,6290443.0,1862075.0,80573
438,False,6330311.399,1862072.41,80577
439,False,6321957.0,1862072.0,80578
440,False,6302911.0,1862068.0,80581
441,False,6312684.0,1862068.0,80582
442,False,6321981.0,1862060.0,80587
443,False,6313663.0,1862057.0,80588
444,False,6313306.0,1862055.0,80590
445,False,6313536.0,1862054.0,80591
446,False,6310545.0,1862051.0,80596
447,False,6317836.0,1862044.0,80600
448,False,6327840.0,1862044.0,80601
449,False,6324686.0,1862042.0,80603
450,False,6316793.0,1862040.0,80606
451,False,6329546.0,1862038.999,80608
452,False,6325275.0,1862034.0,80611
453,False,6321893.0,1862032.0,80613
454,False,6305066.0,1862029.0,80615
455,False,6330199.715,1862027.255,80617
456,False,6328655.0,1862025.0,80620
457,False,6329994.205,1862024.926,80621
458,False,6321918.0,1862021.0,80622
459,False,6321374.001,1862015.0,80624
460,False,6301258.453,1862014.258,80626
461,False,6290439.0,1862014.0,80627
462,False,6326230.0,1862007.0,80632
463,False,6330336.279,1862005.145,80633
464,False,6319640.0,1862003.0,80635
465,False,6330359.171,1862001.44,80637
466,False,6327434.175,1862001.301,80638
467,False,6321841.0,1862000.0,80639
468,False,6309738.0,1861996.0,80640
469,False,6315706.0,1861996.0,80641
470,False,6316938.0,1861996.0,80642
471,False,6310931.452,1861983.427,80643
472,False,6321864.0,1861989.0,80646
473,False,6330448.102,1861988.724,80647
474,False,6321871.988,1861985.66,80651
475,False,6291307.0,1861984.0,80654
476,False,6320193.0,1861982.0,80656
477,False,6330495.701,1861981.918,80657
478,False,6312063.0,1861980.0,80658
479,False,6319810.0,1861974.001,80661
480,False,6306113.0,1861973.0,80662
481,False,6326284.0,1861965.0,80665
482,False,6301144.238,1861962.561,80666
483,False,6330626.353,1861961.335,80667
484,False,6330801.0,1861961.0,80669
485,False,6299840.999,1861959.0,80670
486,False,6290434.0,1861951.0,80673
487,False,6312989.0,1861948.0,80675
488,False,6317097.0,1861948.0,80676
489,False,6326130.0,1861941.0,80679
490,False,6299270.0,1861940.0,80680
491,False,6316759.0,1861940.0,80681
492,False,6319960.0,1861937.0,80682
493,False,6299570.0,1861935.0,80686
494,False,6319621.0,1861933.0,80687
495,False,6314038.0,1861931.0,80688
496,False,6318298.0,1861930.0,80689
497,False,6317163.999,1861928.0,80691
498,False,6298667.0,1861924.0,80693
499,False,6318707.0,1861923.0,80694
500,False,6318448.0,1861917.0,80695
501,False,6298892.0,1861916.0,80696
502,False,6321273.0,1861913.0,80698
503,False,6327776.0,1861911.0,80702
504,False,6290898.0,1861910.0,80703
505,False,6319524.0,1861907.0,80705
506,False,6316350.0,1861902.0,80708
507,False,6318065.0,1861902.0,80709
508,False,6316221.0,1861899.0,80712
509,False,6291571.0,1861895.0,80713
510,False,6290426.0,1861894.0,80714
511,False,6315996.0,1861894.0,80715
512,False,6298057.0,1861893.0,80716
513,False,6298414.0,1861890.0,80717
514,False,6321601.0,1861889.0,80718
515,False,6319422.0,1861879.0,80724
516,False,6301289.0,1861877.0,80725
517,False,6309017.0,1861876.0,80727
518,False,6320190.0,1861875.0,80728
519,False,6309454.0,1861866.0,80733
520,False,6309602.0,1861866.0,80734
521,False,6309632.0,1861866.0,80735
522,False,6314931.999,1861866.0,80736
523,False,6318022.0,1861854.0,80740
524,False,6319324.0,1861852.999,80742
525,False,6307706.0,1861850.785,80743
526,False,6290587.0,1861849.0,80744
527,False,6319927.0,1861847.0,80746
528,False,6322206.0,1861846.0,80748
529,False,6304360.0,1861845.0,80749
530,False,6313716.0,1861845.0,80750
531,False,6324042.0,1861845.0,80751
532,False,6327909.0,1861844.0,80752
533,False,6319766.0,1861841.0,80754
534,False,6289915.0,1861839.0,80756
535,False,6324484.0,1861839.0,80757
536,False,6324680.0,1861837.0,80759
537,False,6330398.013,1861835.01,80761
538,False,6290552.0,1861835.0,80762
539,False,6324829.0,1861835.0,80763
540,False,6301433.265,1861834.194,80764
541,False,6290843.0,1861827.0,80773
542,False,6325271.0,1861827.0,80775
543,False,6319218.0,1861824.0,80778
544,False,6329381.0,1861824.0,80779
545,False,6290511.0,1861819.001,80783
546,False,6321376.0,1861818.0,80785
547,False,6321863.0,1861813.0,80787
548,False,6330770.0,1861809.0,80789
549,False,6327069.0,1861808.0,80791
550,False,6319133.0,1861801.0,80796
551,False,6290398.0,1861799.0,80799
552,False,6290829.0,1861793.0,80805
553,False,6312298.0,1861793.0,80806
554,False,6301306.807,1861786.3,80811
555,False,6296521.001,1861782.0,80812
556,False,6319042.0,1861778.0,80815
557,False,6290635.0,1861771.0,80816
558,False,6311117.0,1861765.0,80821
559,False,6290611.0,1861764.0,80823
560,False,6297297.455,1861758.226,80824
561,False,6290589.0,1861757.001,80825
562,False,6290813.0,1861756.0,80827
563,False,6321598.0,1861754.0,80830
564,False,6326617.0,1861750.0,80831
565,False,6290558.0,1861749.0,80832
566,False,6329316.0,1861746.0,80834
567,False,6290652.0,1861745.0,80836
568,False,6290380.0,1861744.0,80837
569,False,6297952.0,1861737.0,80842
570,False,6305397.0,1861736.0,80844
571,False,6290625.0,1861735.0,80845
572,False,6323804.0,1861731.0,80851
573,False,6330177.999,1861731.0,80852
574,False,6290485.0,1861728.999,80853
575,False,6298417.0,1861726.001,80856
576,False,6290574.999,1861722.0,80858
577,False,6315257.0,1861722.0,80859
578,False,6325527.0,1861721.0,80862
579,False,6296991.999,1861719.0,80863
580,False,6290671.0,1861715.0,80868
581,False,6290539.0,1861713.0,80869
582,False,6306113.0,1861710.0,80872
583,False,6290628.0,1861703.0,80875
584,False,6301890.967,1861698.385,80878
585,False,6323613.0,1861697.0,80879
586,False,6290593.0,1861694.0,80881
587,False,6290344.0,1861692.0,80882
588,False,6290780.0,1861688.0,80884
589,False,6311379.0,1861688.0,80885
590,False,6327775.0,1861686.0,80887
591,False,6328028.0,1861683.0,80888
592,False,6318450.0,1861679.0,80891
593,False,6293714.0,1861675.0,80894
594,False,6320186.0,1861675.0,80895
